index,ID,Label,Vaccine Name,Definition,Editor Note,FDA Vaccine Indications,RXN,CVX_Codes
VO_0001854,VO_0001854,Feline Rhinotracheitis-Calici-Panleukopenia Killed Virus Vaccine (USDA: 16D5.23),,,generated using OntoRat,,,
VO_0003859,VO_0003859,Imovax Injectable Product,,,,,1659733,
VO_0002354,VO_0002354,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,,,,,,
VO_0001476,VO_0001476,sheep vaccine,,,,,,
VO_0004363,VO_0004363,"M. tuberculosis DNA vaccine (containing the ESAT-6, MPT-64, MPT-83, and KatG constructs)",,,,,,
VO_0003305,VO_0003305,"L1 protein, Human papillomavirus type 33 Vaccine",,,,,1596931,
VO_0004414,VO_0004414,C. tetani DNA vaccine pcDNA3tetC encoding fragment C,,,,,,
VO_0004353,VO_0004353,Duck hepatitis B DNA vaccine pcDNA I-S encoding small S proteins,,,,,,
VO_0011461,VO_0011461,C. posadasii DNA Vaccine encoding PRA protein,,a Coccidioides vaccine that contains C. posadasii DNA vaccine encoding PRA protein,,,,
VO_0002213,VO_0002213,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 4639.22),,,generated using OntoRat,,,
VO_0001502,VO_0001502,Infectious Bronchitis Virus vaccine,,viral vaccine that is used to protect against Infectious Bronchitis Virus (IBV) infection,,,,
VO_0004218,VO_0004218,Biothrax Injectable Suspension,,,,,832681,
VO_0011356,VO_0011356,A. pleuropneumoniae ApxIA protein vaccine,,,,,,
VO_0000367,VO_0000367,live attenuated vaccine,,A live vaccine that is made from microbes that have been attenuated (weakened) in the laboratory so that they can't cause disease.,,,,
VO_0003062,VO_0003062,Murid herpesvirus 1 vaccine,,A viral vaccine that protects against infection with Murine Cytomegalovirus (or called murid herpesvirus 1).,,,,
VO_0001793,VO_0001793,Erysipelothrix Rhusiopathiae Avirulent Live Culture Vaccine (USDA: 1541.04),,,generated using OntoRat,,,
VO_0001634,VO_0001634,Bursal Disease Killed Virus Vaccine (USDA: 1275.20),,,generated using OntoRat,,,
VO_0005413,VO_0005413,GEMCOVAC-19,,A SARS-CoV-2 mRNA vaccine by Gennova Biopharmaceuticals Limited,,,,
VO_0004246,VO_0004246,Anthrax vaccine adsorbed with Squalene adjuvant,,,,,,
VO_0003739,VO_0003739,Afluria Quadrivalent 2016-2017 Formula Injectable Product,,,,,1858962,
VO_0001530,VO_0001530,Canary Pox Modified Live Virus Vaccine (USDA: 1623.10),,,,,,
VO_0007594,VO_0007594,Contusugene ladenovec vaccine,,,,,,
VO_0003834,VO_0003834,poliovirus vaccine inactivated,,,,,,
VO_0007096,VO_0007096,PEP-3-KLH Conjugate Vaccine,,"A cancerÊvaccineÊconsisting ofÊPEP-3, a synthetic peptide encompassing a tumor-specific mutated segment of the epidermal growth factor receptor type vIII (EGFRvIII), conjugated to the naturally-occurring immunoadjuvant keyhole limpet hemocyanin (KLH) with potential immunostimulating and antineoplastic activities. Upon administration,ÊPEP-3-KLHÊconjugateÊvaccineÊmay induce a cytotoxic immune response against tumor cells that overexpress EGFRvIII; this antitumoral immune response may involve antibody-dependent cellular cytotoxicity (ADCC).",,,,
VO_0002099,VO_0002099,Canine Distemper-Adenovirus Type 2 Modified Live Virus Vaccine (USDA: 13A1.27),,,generated using OntoRat,,,
VO_0004367,VO_0004367,Herpes simplex virus DNA vaccine ICP-27 DNA encoding ICP-27,,,,,,
VO_0005460,VO_0005460,DTP--Haemophilus influenzae type b conjugate vaccine,,,,,,['22']
VO_0003320,VO_0003320,pneumococcal capsular polysaccharide type 17F vaccine 0.05 MG/ML,,,,,854943,
VO_0004499,VO_0004499,Avian influenza virus DNA vaccine pNP,,,,,,
VO_0003901,VO_0003901,Flublok Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe,,,,,1928362,
VO_0000049,VO_0000049,Gardasil,"Human Papillomavirus Quadrivalent (Types 6, 11, 16, 18) Vaccine, Recombinant",,"Gardasil is a quadrivalent vaccine meaning it protects against 4 strains of virus (types 6, 11, 16, and 18). The vaccine was made using genetic engineering techniques. The genes that encode a specific protein from each of these strains are expressed in yeast in large-scale fermentation cultures. Protein purification methods are then used to isolate the proteins and make the vaccine.
Cited from: 
http://biotech.about.com/b/2008/09/03/gardasil-safety-of-genetically-engineered-hpv-vaccine-still-in-question.htm","- Prevention of vulvar and vaginal cancer
- Vaccination in females 9 through 26 years of age for prevention of the following diseases caused by Human Papillomavirus (HPV) Types 6, 11, 16, and 18:
     - Cervical Cancer
     - Genital warts (condyloma acuminata) and the following precancerous or dysplastic lesions:
          - Cervical adenocarcinoma in situ (AIS)cancer
          - Cervical intraepithelial neoplasia (CIN) grade 2 and grade 3
          - Vulvar intraepithelial neoplasia (VIN) grade 2 and grade 3
          - Vaginal intraepithelial neoplasia (VaIN) grade 2 and grade 3
          - Cervical intraepithelial neoplasia (CIN) grade 1
- Vaccination in boys and men 9 through 26 years of age for the prevention of genital warts caused by HPV types 6 and 11
- Vaccination in people ages 9 through 26 years for the prevention of anal cancer and associated precancerous lesions due to human papillomavirus (HPV) types 6, 11, 16, and 18",659877,['62']
VO_0003484,VO_0003484,Neisseriales vaccine,,,,,,
VO_0001931,VO_0001931,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.24),,,generated using OntoRat,,,
VO_0001862,VO_0001862,"Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 16E5.20)",,,generated using OntoRat,,,
VO_0003860,VO_0003860,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML [Imovax]",,,,,1659731,
VO_0001477,VO_0001477,salmoninae vaccine,,"vaccine that used for immunizing  salmoninae (tourts, salmons & chars )",,,,
VO_0004364,VO_0004364,M. tuberculosis DNA vaccine DNAAg85A encoding a single immunogenic M.tb Ag,,,,,,
VO_0003306,VO_0003306,"L1 protein, Human papillomavirus type 45 Vaccine",,,,,1596932,
VO_0004669,VO_0004669,Streptococcus gordonii-TTFC,,,,,,
VO_0004354,VO_0004354,Hepatitis B DNA vaccine pRc/CMV-HBs(S) encoding HBsAg,,,,,,
VO_0011391,VO_0011391,B. pertussis DNA vaccine encoding Prn,,,,,,
VO_0011463,VO_0011463,C. immitis subunit URE protein vaccine,,a Coccidioides vaccine that contains C. immitis subunit URE protein,,,,
VO_0001610,VO_0001610,"Bronchitis Mass Type, Live Virus Vaccine (USDA: 1231.11)",,,,,,
VO_0002214,VO_0002214,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract (USDA: 4639.25),,,generated using OntoRat,,,
VO_0003998,VO_0003998,BOOSTRIX vaccine Injection,,,,,1657466,
VO_0011384,VO_0011384,A. pleuropneumoniae ApxIa and ApxIIa protein vaccine,,,,,,
VO_0001635,VO_0001635,Bursal Disease Live Virus Vaccine (USDA: 1271.00),,,,,,
VO_0005414,VO_0005414,LVRNA009,,"A SARS-CoV-2 mRNA vaccine by AIM Vaccine Co., Ltd.",,,,
VO_0000611,VO_0000611,Haemophilus parasuis vaccine,,bacterial vaccine that is used to protect against Haemophilus parasuis infection,,,,
VO_0004255,VO_0004255,Recombinant PA with Poly(I:C) Adjuvant,,,,,,
VO_0003740,VO_0003740,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2016-2017 Formula],,,,,1858960,
VO_0005464,VO_0005464,Non-US bivalent oral polio vaccine (types 1 and 3),,A poliovirus vaccine that contains two types of poliovirus and uses poliovirus particles that have been grown under controlled conditions and then killed to prevent disease caused from the vaccine.,,,,
VO_0007595,VO_0007595,CpG 7909/PF3512676 vaccine,,,,,,
VO_0001481,VO_0001481,Pigeonpox virus vaccine,,viral vaccine that is used to protect against Pigeonpox virus infection,,,,
