,ID,VO_STR,RXN
0,VO_0001854,Feline Rhinotracheitis-Calici-Panleukopenia Killed Virus Vaccine (USDA: 16D5.23),
1,VO_0003859,Imovax Injectable Product,1659733
2,VO_0002354,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
3,VO_0001476,sheep vaccine,
4,VO_0004363,"M. tuberculosis DNA vaccine (containing the ESAT-6, MPT-64, MPT-83, and KatG constructs)",
5,VO_0003305,"L1 protein, Human papillomavirus type 33 Vaccine",1596931
6,VO_0004414,C. tetani DNA vaccine pcDNA3tetC encoding fragment C,
7,VO_0004353,Duck hepatitis B DNA vaccine pcDNA I-S encoding small S proteins,
8,VO_0011461,C. posadasii DNA Vaccine encoding PRA protein,
9,VO_0002213,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 4639.22),
10,VO_0001502,Infectious Bronchitis Virus vaccine,
11,VO_0004218,Biothrax Injectable Suspension,832681
12,VO_0011356,A. pleuropneumoniae ApxIA protein vaccine,
13,VO_0000367,live attenuated vaccine,
14,VO_0003062,Murid herpesvirus 1 vaccine,
15,VO_0001793,Erysipelothrix Rhusiopathiae Avirulent Live Culture Vaccine (USDA: 1541.04),
16,VO_0001634,Bursal Disease Killed Virus Vaccine (USDA: 1275.20),
17,VO_0005413,GEMCOVAC-19,
18,VO_0004246,Anthrax vaccine adsorbed with Squalene adjuvant,
19,VO_0003739,Afluria Quadrivalent 2016-2017 Formula Injectable Product,1858962
20,VO_0001530,Canary Pox Modified Live Virus Vaccine (USDA: 1623.10),
21,VO_0007594,Contusugene ladenovec vaccine,
22,VO_0003834,poliovirus vaccine inactivated,
23,VO_0007096,PEP-3-KLH Conjugate Vaccine,
24,VO_0002099,Canine Distemper-Adenovirus Type 2 Modified Live Virus Vaccine (USDA: 13A1.27),
25,VO_0004367,Herpes simplex virus DNA vaccine ICP-27 DNA encoding ICP-27,
26,VO_0005460,DTP--Haemophilus influenzae type b conjugate vaccine,
27,VO_0003320,pneumococcal capsular polysaccharide type 17F vaccine 0.05 MG/ML,854943
28,VO_0004499,Avian influenza virus DNA vaccine pNP,
29,VO_0003901,Flublok Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928362
30,VO_0000049,Gardasil,659877
31,VO_0003484,Neisseriales vaccine,
32,VO_0001931,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.24),
33,VO_0001862,"Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 16E5.20)",
34,VO_0003860,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML [Imovax]",1659731
35,VO_0001477,salmoninae vaccine,
36,VO_0004364,M. tuberculosis DNA vaccine DNAAg85A encoding a single immunogenic M.tb Ag,
37,VO_0003306,"L1 protein, Human papillomavirus type 45 Vaccine",1596932
38,VO_0004669,Streptococcus gordonii-TTFC,
39,VO_0004354,Hepatitis B DNA vaccine pRc/CMV-HBs(S) encoding HBsAg,
40,VO_0011391,B. pertussis DNA vaccine encoding Prn,
41,VO_0011463,C. immitis subunit URE protein vaccine,
42,VO_0001610,"Bronchitis Mass Type, Live Virus Vaccine (USDA: 1231.11)",
43,VO_0002214,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract (USDA: 4639.25),
44,VO_0003998,BOOSTRIX vaccine Injection,1657466
45,VO_0011384,A. pleuropneumoniae ApxIa and ApxIIa protein vaccine,
46,VO_0001635,Bursal Disease Live Virus Vaccine (USDA: 1271.00),
47,VO_0005414,LVRNA009,
48,VO_0000611,Haemophilus parasuis vaccine,
49,VO_0004255,Recombinant PA with Poly(I:C) Adjuvant,
