,concept,ui,source,sourceConcept,obsolete,name,termType,language
0,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0016831,A0318991,CSP,NONE,false,fungal vaccine,PT,ENG
1,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0016831,A0131119,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0008891,false,"Vaccines, Fungal",PM,ENG
2,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0016831,A0061303,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0008891,false,Fungal Vaccines,MH,ENG
3,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A32288783,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0022454,false,"Vaccine, Attenuated",PM,ENG
4,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A0319385,CSP,NONE,false,live vaccine,PT,ENG
5,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A0027784,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0022454,false,Attenuated Vaccines,PM,ENG
6,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A18650459,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000012854,false,live vaccine,PT,ENG
7,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A26663756,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0022454,false,"Vaccines, Live, Attenuated",ET,ENG
8,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A20254973,NCI,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/NCI/C97116,false,Attenuated Live Vaccine,PT,ENG
9,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A0131116,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0022454,false,"Vaccines, Attenuated",MH,ENG
10,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A18631805,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000012854,false,attenuated vaccine,SY,ENG
11,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A18631807,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000012854,false,vaccine live,SY,ENG
12,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A31618521,NCI,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/NCI/C97116,false,LAV,SY,ENG
13,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A18631806,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000012854,false,attenuated vaccines,SY,ENG
14,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A32288782,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0022454,false,Attenuated Vaccine,ET,ENG
15,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A31607461,NCI,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/NCI/C97116,false,Live Attenuated Vaccine,SY,ENG
16,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A18097722,MTH,NONE,false,"Vaccines, Attenuated",PN,ENG
17,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A18687439,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000012854,false,live vaccines,SY,ENG
18,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A18999706,MSHPOL,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHPOL/M0022454,false,Szczepionki atenuowane,MH,POL
19,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A27473977,MSHITA,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHITA/M0022454,false,Vaccini vivi attenuati,ET,ITA
20,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A7934720,MSHJPN,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHJPN/M0022454,false,ワクチン-弱毒化,SY,JPN
21,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A9136783,MSHPOR,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHPOR/M0022454,false,Vacinas Atenuadas,MH,POR
22,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A13491888,MSHRUS,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHRUS/M0022454,false,VAKTSINY OSLABLENNYE,SY,RUS
23,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A8016875,MSHRUS,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHRUS/M0022454,false,ВАКЦИНЫ ОСЛАБЛЕННЫЕ,SY,RUS
24,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A33225117,MSHSWE,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHSWE/M0022454,false,"Vacciner, attenuerade",ET,SWE
25,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A33941073,MSHCZE,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHCZE/M0022454,false,atenuované vakcíny,MH,CZE
26,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A27630659,MSHCZE,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHCZE/M0022454,false,vakcíny živé oslabené,ET,CZE
27,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A33935520,MSHCZE,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHCZE/M0022454,false,vakcíny atenuované,ET,CZE
28,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A7554885,MSHITA,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHITA/M0022454,false,Vaccini attenuati,MH,ITA
29,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A11754483,MSHSWE,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHSWE/M0022454,false,"Vacciner, försvagade",MH,SWE
30,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A33245762,MSHPOR,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHPOR/M0022454,false,Vacina contra Vírus Vivo Atenuado,ET,POR
31,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0042211,A9212847,MSHSPA,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHSPA/M0022454,false,Vacunas Atenuadas,MH,SPA
32,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0080067,A0106953,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0024537,false,Protozoan Vaccines,MH,ENG
33,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0080067,A0131124,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0024537,false,"Vaccines, Protozoan",PM,ENG
34,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0080067,A23869229,LCH_NW,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/LCH_NW/sh88003766,false,Protozoan vaccines,PT,ENG
35,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0080067,A0319836,CSP,NONE,false,protozoal vaccine,PT,ENG
36,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0080067,A27650038,MSHFRE,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHFRE/M0024537,false,Vaccins contre les protozoaires,ET,FRE
37,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0080067,A27651866,MSHGER,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSHGER/M0024537,false,"Impfstoffe, Protozoen",ET,GER
38,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A18597234,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000020884,false,malaria vaccine,PT,ENG
39,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A0362454,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0026871,false,"Vaccines, Malarial",PM,ENG
40,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A32295231,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0026871,false,Malarial Vaccine,ET,ENG
41,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A0362452,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0026871,false,Malaria Vaccines,MH,ENG
42,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A35447112,ATC,NONE,false,malaria vaccines,IN,ENG
43,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A1198670,CSP,NONE,false,malaria vaccine,PT,ENG
44,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A18578617,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000020884,false,malarial vaccine,SY,ENG
45,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A30060209,MEDCIN,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MEDCIN/347403,false,malaria vaccine,PT,ENG
46,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A32286920,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0026871,false,Malaria Vaccine,ET,ENG
47,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A8317042,HL7V3.0,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/HL7V3.0/11221,false,malaria,PT,ENG
48,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A27804178,CVX,NONE,false,malaria,AB,ENG
49,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A0362453,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0026871,false,"Vaccines, Malaria",PM,ENG
50,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A26658697,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0026871,false,Malarial Vaccines,ET,ENG
51,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A23874233,LCH_NW,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/LCH_NW/sh86005372,false,Malaria vaccine,PT,ENG
52,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A8312247,HL7V2.5,NONE,false,malaria,PT,ENG
53,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A18690033,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000020884,false,vaccine malaria,SY,ENG
54,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A27797802,CVX,NONE,false,malaria vaccine,PT,ENG
55,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A32291279,MSH,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/MSH/M0026871,false,"Vaccine, Malarial",PM,ENG
56,https://uts-ws.nlm.nih.gov/rest/content/2023AB/CUI/C0206255,A18560206,CHV,https://uts-ws.nlm.nih.gov/rest/content/2023AB/source/CHV/0000020884,false,vaccines malaria,SY,ENG
