RXCUI,STR,TTY
7288,Neisseria meningitidis,IN
8080,pertussis vaccine,IN
29501,meningococcal group A polysaccharide,IN
29503,meningococcal group C polysaccharide,IN
50937,Haemophilus influenzae type b,IN
76469,"BCG, live, Connaught strain",IN
114883,Typhim VI,BN
139056,COMVAX,BN
200259,"diphtheria toxoid vaccine, inactivated 4 LFU/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension",SCD
200260,"diphtheria toxoid vaccine, inactivated 25 LFU/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension",SCD
200288,"diphtheria toxoid vaccine, inactivated 20 LFU/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension",SCD
203439,Havrix,BN
204459,meningococcal group A polysaccharide 0.1 MG/ML Injectable Solution,SCD
204525,"diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injectable Suspension",SCD
204527,"tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD
205255,"diphtheria toxoid vaccine, inactivated 25 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD
205256,"diphtheria toxoid vaccine, inactivated 20 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD
205257,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injectable Suspension",SCD
205259,"0.5 ML diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 4 UNT/ML Injection",SCD
205262,"tetanus toxoid vaccine, inactivated 20 UNT/ML Injectable Suspension",SCD
207269,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injectable Solution [Menomune A/C/Y/W-135],SBD
219579,RabAvert,BN
221050,"BCG, live, Tice strain",IN
221105,Haemophilus capsular oligosaccharide,IN
224903,Infanrix,BN
242233,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.015 MG/ML Injectable Solution,SCD
242857,"tetanus toxoid vaccine, inactivated 5 LFU Injectable Solution",SCD
247765,"diphtheria toxoid vaccine, inactivated 50 UNT/ML Injectable Solution",SCD
247766,"diphtheria toxoid vaccine, inactivated 0.2 UNT/ML Injectable Solution",SCD
250071,hepatitis B surface antigen vaccine 0.003 MG/ML Injectable Solution,SCD
251653,"acellular pertussis vaccine, inactivated 600 UNT/ML Injectable Solution",SCD
251817,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML Injectable Solution,SCD
251908,"tetanus toxoid vaccine, inactivated 150 UNT/ML Injectable Solution",SCD
260122,"diphtheria toxoid vaccine, inactivated 0.036 MG/ML / Haemophilus capsular oligosaccharide 0.05 MG/ML Injectable Solution",SCD
260123,"Haemophilus capsular oligosaccharide 0.02 MG/ML / tetanus toxoid vaccine, inactivated 0.048 MG/ML Injectable Solution",SCD
260208,Haemophilus capsular oligosaccharide 0.03 MG/ML / Neisseria meningitidis 0.5 MG/ML Injectable Solution,SCD
260209,Haemophilus capsular oligosaccharide 0.015 MG/ML / Neisseria meningitidis 0.25 MG/ML Injectable Solution,SCD
260299,"diphtheria toxoid vaccine, inactivated 0.036 MG/ML / Haemophilus capsular oligosaccharide 0.05 MG/ML Injectable Solution [Prohibit]",SBD
260301,"Haemophilus capsular oligosaccharide 0.02 MG/ML / tetanus toxoid vaccine, inactivated 0.048 MG/ML Injectable Solution [OmniHIB]",SBD
287617,Ipol,BN
314513,"BCG, live, Montreal strain",IN
314724,meningococcal polysaccharide vaccine group W-135,IN
314725,meningococcal polysaccharide vaccine group Y,IN
316781,"tetanus toxoid vaccine, inactivated 2 UNT/ML",SCDC
316782,"tetanus toxoid vaccine, inactivated 8 UNT/ML",SCDC
318241,"tetanus toxoid vaccine, inactivated 2 UNT/ML Injectable Solution",SCD
318242,"tetanus toxoid vaccine, inactivated 8 UNT/ML Injectable Solution",SCD
318243,"tetanus toxoid vaccine, inactivated 0.5 ML Injectable Solution",SCD
328467,meningococcal group A polysaccharide 0.1 MG/ML,SCDC
331444,"tetanus toxoid vaccine, inactivated 4 UNT/ML",SCDC
331446,Neisseria meningitidis 0.5 MG/ML,SCDC
335677,"tetanus toxoid vaccine, inactivated 5 LFU",SCDC
336250,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.015 MG/ML,SCDC
336710,hepatitis B surface antigen vaccine 0.003 MG/ML,SCDC
336990,"tetanus toxoid vaccine, inactivated 150 UNT/ML",SCDC
342864,"diphtheria toxoid vaccine, inactivated 0.2 UNT/ML",SCDC
343255,Haemophilus capsular oligosaccharide 0.015 MG/ML,SCDC
343382,"tetanus toxoid vaccine, inactivated 0.048 MG/ML",SCDC
347145,"tetanus toxoid vaccine, inactivated 1000 UNT Injectable Suspension",SCD
347699,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injectable Solution,SCD
350758,"tetanus toxoid vaccine, inactivated 1000 UNT",SCDC
350965,meningococcal polysaccharide vaccine group W-135 0.1 MG/ML,SCDC
350966,meningococcal polysaccharide vaccine group Y 0.1 MG/ML,SCDC
350967,meningococcal group C polysaccharide 0.1 MG/ML,SCDC
352572,Daptacel,BN
352877,PEDIARIX,BN
358497,Haemophilus capsular oligosaccharide 0.03 MG/ML,SCDC
359119,"tetanus toxoid vaccine, inactivated 0.5 ML",SCDC
359455,"acellular pertussis vaccine, inactivated 0.08 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 12 UNT/ML Injectable Solution",SCD
363454,"Haemophilus capsular oligosaccharide / tetanus toxoid vaccine, inactivated Injectable Solution [OmniHIB]",SBDF
363455,"diphtheria toxoid vaccine, inactivated / Haemophilus capsular oligosaccharide Injectable Solution [Prohibit]",SBDF
363592,meningococcal group A polysaccharide / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group W-135 / meningococcal polysaccharide vaccine group Y Injectable Solution [Menomune A/C/Y/W-135],SBDF
365627,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injectable Suspension [ACEL-IMUNE]",SBDF
365683,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injectable Suspension [Certiva]",SBDF
371915,"diphtheria toxoid vaccine, inactivated Injectable Solution",SCDF
372385,hepatitis B surface antigen vaccine Injectable Solution,SCDF
374054,"tetanus toxoid vaccine, inactivated Injectable Solution",SCDF
374403,meningococcal group A polysaccharide Injectable Solution,SCDF
374444,"tetanus toxoid vaccine, inactivated Injectable Suspension",SCDF
374588,Haemophilus capsular oligosaccharide / Neisseria meningitidis Injectable Solution,SCDF
375536,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine Injectable Solution,SCDF
375806,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injectable Solution",SCDF
378439,"diphtheria toxoid vaccine, inactivated / Haemophilus capsular oligosaccharide Injectable Solution",SCDF
378654,meningococcal group A polysaccharide / meningococcal group C polysaccharide Injectable Solution,SCDF
378898,meningococcal group A polysaccharide / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group W-135 / meningococcal polysaccharide vaccine group Y Injectable Solution,SCDF
379116,"Haemophilus capsular oligosaccharide / tetanus toxoid vaccine, inactivated Injectable Solution",SCDF
379163,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injectable Solution",SCDF
380956,"acellular pertussis vaccine, inactivated 600 UNT/ML",SCDC
380957,"acellular pertussis vaccine, inactivated Injectable Solution",SCDF
384561,Neisseria meningitidis 0.25 MG/ML,SCDC
402455,"diphtheria toxoid vaccine, inactivated 4 LFU/ML",SCDC
402456,"tetanus toxoid vaccine, inactivated 10 LFU/ML",SCDC
402457,"diphtheria toxoid vaccine, inactivated 25 LFU/ML",SCDC
404894,Biothrax,BN
412908,"tetanus toxoid vaccine, inactivated 80 UNT/ML Injectable Solution",SCD
412992,"tetanus toxoid vaccine, inactivated 4 UNT/ML Injectable Solution",SCD
413786,pertussis vaccine 8 UNT/ML Injectable Solution,SCD
415373,pertussis vaccine 0.0468 MG/ML Injectable Solution,SCD
415374,pertussis vaccine 600 UNT/ML Injectable Solution,SCD
450546,pertussis vaccine 8 UNT/ML,SCDC
450547,pertussis vaccine Injectable Solution,SCDF
452027,"tetanus toxoid vaccine, inactivated 80 UNT/ML",SCDC
452809,pertussis vaccine 600 UNT/ML,SCDC
452810,pertussis vaccine 0.0468 MG/ML,SCDC
496892,RotaTeq,BN
545640,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML [Meningovax-AC],SBDC
545641,meningococcal group A polysaccharide / meningococcal group C polysaccharide Injectable Solution [Meningovax-AC],SBDF
545642,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML Injectable Solution [Meningovax-AC],SBD
547243,"0.5 ML measles virus vaccine live, Enders' attenuated Edmonston strain 2000 UNT/ML Injection [Attenuvax]",SBD
562127,hepatitis B surface antigen vaccine 0.02 MG/ML Injectable Solution,SCD
568054,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML [Menomune A/C/Y/W-135],SBDC
574101,"diphtheria toxoid vaccine, inactivated 0.036 MG/ML / Haemophilus capsular oligosaccharide 0.05 MG/ML [Prohibit]",SBDC
574102,"Haemophilus capsular oligosaccharide 0.02 MG/ML / tetanus toxoid vaccine, inactivated 0.048 MG/ML [OmniHIB]",SBDC
583409,"tetanus toxoid vaccine, inactivated 10 MG/ML",SCDC
583410,"diphtheria toxoid vaccine, inactivated 5 MG/ML / tetanus toxoid vaccine, inactivated 10 MG/ML Injectable Suspension",SCD
583411,Boostrix,BN
605718,Adacel,BN
606316,Haemophilus capsular oligosaccharide / Neisseria meningitidis Injectable Suspension,SCDF
606317,Haemophilus capsular oligosaccharide 0.015 MG/ML / Neisseria meningitidis 0.25 MG/ML Injectable Suspension,SCD
606318,Haemophilus capsular oligosaccharide 0.015 MG/ML / Neisseria meningitidis 0.25 MG/ML [Liquid PedvaxHIB],SBDC
606319,Haemophilus capsular oligosaccharide / Neisseria meningitidis Injectable Suspension [Liquid PedvaxHIB],SBDF
606320,Haemophilus capsular oligosaccharide 0.015 MG/ML / Neisseria meningitidis 0.25 MG/ML Injectable Suspension [Liquid PedvaxHIB],SBD
632467,"tetanus toxoid vaccine, inactivated Injectable Solution [TE Anatoxal Berna]",SBDF
659877,Gardasil,BN
661026,Cervarix,BN
674453,Pentacel,BN
683648,Hiberix,BN
727782,"1 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Prefilled Syringe",SCD
762595,Salmonella typhi Ty21a live antigen,IN
762597,Salmonella typhi Ty21a live antigen Delayed Release Oral Capsule,SCDF
762598,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule,SCD
762601,Salmonella typhi Ty21a live antigen Delayed Release Oral Capsule [Vivotif],SBDF
762602,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule [Vivotif],SBD
762817,rubella virus vaccine live (Wistar RA 27-3 strain),IN
