ID,VO_STR,RXN
VO_0001854,Feline Rhinotracheitis-Calici-Panleukopenia Killed Virus Vaccine (USDA: 16D5.23),
VO_0003859,Imovax Injectable Product,1659733
VO_0002354,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
VO_0001476,sheep vaccine,
VO_0004363,"M. tuberculosis DNA vaccine (containing the ESAT-6, MPT-64, MPT-83, and KatG constructs)",
VO_0003305,"L1 protein, Human papillomavirus type 33 Vaccine",1596931
VO_0004414,C. tetani DNA vaccine pcDNA3tetC encoding fragment C,
VO_0004353,Duck hepatitis B DNA vaccine pcDNA I-S encoding small S proteins,
VO_0011461,C. posadasii DNA Vaccine encoding PRA protein,
VO_0002213,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterin (USDA: 4639.22),
VO_0001502,Infectious Bronchitis Virus vaccine,
VO_0004218,Biothrax Injectable Suspension,832681
VO_0011356,A. pleuropneumoniae ApxIA protein vaccine,
VO_0000367,live attenuated vaccine,
VO_0003062,Murid herpesvirus 1 vaccine,
VO_0001793,Erysipelothrix Rhusiopathiae Avirulent Live Culture Vaccine (USDA: 1541.04),
VO_0001634,Bursal Disease Killed Virus Vaccine (USDA: 1275.20),
VO_0005413,GEMCOVAC-19,
VO_0004246,Anthrax vaccine adsorbed with Squalene adjuvant,
VO_0003739,Afluria Quadrivalent 2016-2017 Formula Injectable Product,1858962
VO_0001530,Canary Pox Modified Live Virus Vaccine (USDA: 1623.10),
VO_0007594,Contusugene ladenovec vaccine,
VO_0003834,poliovirus vaccine inactivated,
VO_0007096,PEP-3-KLH Conjugate Vaccine,
VO_0002099,Canine Distemper-Adenovirus Type 2 Modified Live Virus Vaccine (USDA: 13A1.27),
VO_0004367,Herpes simplex virus DNA vaccine ICP-27 DNA encoding ICP-27,
VO_0005460,DTP--Haemophilus influenzae type b conjugate vaccine,
VO_0003320,pneumococcal capsular polysaccharide type 17F vaccine 0.05 MG/ML,854943
VO_0004499,Avian influenza virus DNA vaccine pNP,
VO_0003901,Flublok Quadrivalent 2017-2018 vaccine 0.5 ML Prefilled Syringe,1928362
VO_0000049,Gardasil,659877
VO_0003484,Neisseriales vaccine,
VO_0001931,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.24),
VO_0001862,"Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 16E5.20)",
VO_0003860,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML [Imovax]",1659731
VO_0001477,salmoninae vaccine,
VO_0004364,M. tuberculosis DNA vaccine DNAAg85A encoding a single immunogenic M.tb Ag,
VO_0003306,"L1 protein, Human papillomavirus type 45 Vaccine",1596932
VO_0004669,Streptococcus gordonii-TTFC,
VO_0004354,Hepatitis B DNA vaccine pRc/CMV-HBs(S) encoding HBsAg,
VO_0011391,B. pertussis DNA vaccine encoding Prn,
VO_0011463,C. immitis subunit URE protein vaccine,
VO_0001610,"Bronchitis Mass Type, Live Virus Vaccine (USDA: 1231.11)",
VO_0002214,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterial Extract (USDA: 4639.25),
VO_0003998,BOOSTRIX vaccine Injection,1657466
VO_0011384,A. pleuropneumoniae ApxIa and ApxIIa protein vaccine,
VO_0001635,Bursal Disease Live Virus Vaccine (USDA: 1271.00),
VO_0005414,LVRNA009,
VO_0000611,Haemophilus parasuis vaccine,
VO_0004255,Recombinant PA with Poly(I:C) Adjuvant,
VO_0003740,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2016-2017 Formula],1858960
VO_0005464,Non-US bivalent oral polio vaccine (types 1 and 3),
VO_0007595,CpG 7909/PF3512676 vaccine,
VO_0001481,Pigeonpox virus vaccine,
VO_0007098,prime/boost DC-TRP-2 melanoma vaccine,
VO_0002100,Canine Distemper-Adenovirus Type 2-Parainfluenza Modified Live Virus Vaccine (USDA: 13C1.20),
VO_0004368,Herpes simplex virus DNA vaccine gB-DNA encoding gB,
VO_0003385,"tetanus toxoid vaccine, inactivated 10 UNT/ML",798307
VO_0003321,pneumococcal capsular polysaccharide type 18C vaccine 0.05 MG/ML,854945
VO_0004500,Influenza virus DNA vaccine pCMVH5HA,
VO_0003907,Flublok Quadrivalent 2018-2019 vaccine 0.5 ML Prefilled Syringe,2050382
VO_0000052,Havrix,203439
VO_0000053,Neisseria meningitidis vaccine,
VO_0001932,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4560.25),
VO_0001863,"Feline Rhinotracheitis-Calici-Panleukopenia-Chlamydia Psittaci Killed Virus, Killed Chlamydia Vaccine (USDA: 16E5.23)",
VO_0000064,Infanrix,224903
VO_0001396,cocktail vaccine containing subunit vaccine and inactivated whole organism vaccine,
VO_0004689,M.S-Delta-esx-3-IKEPLUS (M. tuberculosis),
VO_0003307,"L1 protein, Human papillomavirus type 52 Vaccine",1596933
VO_0004357,Hepatitis B DNA vaccine pS encoding major envelope proteins,
VO_0011413,B. pertussis DNA vaccine encoding TcfA,
VO_0011490,C. posadasii subunit GEL1 protein vaccine,
VO_0001611,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.1M)",
VO_0002215,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 4639.27),
VO_0004205,BOOSTRIX vaccine Prefilled Syringe,806594
VO_0002856,Mannheimia haemolytica aroA mutant vaccine,
VO_0003544,Rubulavirus vaccine,
VO_0001794,Haemophilus Parasuis Avirulent Live Culture Vaccine (USDA: 19J1.00),
VO_0001636,Bursal Disease Live Virus Vaccine (USDA: 1271.01),
VO_0005415,mRNA-1273.214,
VO_0004270,B. anthracis PA protein Vaccine with TMDP,
VO_0003746,Afluria Quadrivalent 2017-2018 Injectable Product,1942165
VO_0001531,Pigeon Pox Live Virus Vaccine (USDA: 1881.10),
VO_0007596,CVB4/p24(73(3)) vaccine,
VO_0005469,"trivalent poliovirus vaccine, live, oral",
VO_0007108,Synchotrope TA2M Vaccine,
VO_0004369,Herpes simplex virus DNA vaccine gBDNA encoding gB,
VO_0002408,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Vaccine,
VO_0003401,"tetanus toxoid vaccine, inactivated 20 UNT/ML",801712
VO_0003322,pneumococcal capsular polysaccharide type 19A vaccine 0.05 MG/ML,854947
VO_0004501,Influenza virus DNA vaccine p-Beta-actinH7HA,
VO_0003720,Afluria 2015-2016 0.5 ML Prefilled Syringe,1661807
VO_0004718,rCMV-TT,
VO_0007079,Remestemcel-L Vaccine,
VO_0000054,IPOL,287617
VO_0003080,Nimenrix,
VO_0002331,Bovine Rhinotracheitis Vaccine-Haemophilus Somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid,
VO_0004903,Inactivated monovalent influenza A/H5N1 (3.75 mcg hemagglutinin [HA] A/Indonesia/05/2005) split-virus (SV) vaccine (Sanofi),
VO_0002490,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Haemophilus somnus-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
VO_0003181,Measles virus vaccine foreign to USA,
VO_0011410,M. tuberculosis DNA Vaccine encoding Ag85B Protein,
VO_0003308,"L1 protein, Human papillomavirus type 58 Vaccine",1596934
VO_0004358,Hepatitis B DNA vaccine pCMV-HBs encoding HBsAg,
VO_0011498,B. pertussis FhaB and 69 kDa OMP protein vaccine,
VO_0001612,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.20)",
VO_0002216,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine-Leptospira Canicola-Icterohaemorrhagiae Bacterial Extract (USDA: 4639.28),
VO_0003872,COMVAX Injection 0.5 ML Injection,798443
VO_0001637,Bursal Disease Live Virus Vaccine (USDA: 1271.02),
VO_0001105,Lawsonia intracellularis vaccine,
VO_0005416,mRNA-1273.529,
VO_0004900,MERS vaccine,
VO_0004386,B. anthracis DNA vaccine PA,
VO_0003747,influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza B virus B/Brisbane/46/2015 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2017-2018],1942163
VO_0015056,"Mumps Virus Vaccine Live, Jeryl Lynn Strain",798372
VO_0007597,Dendritic Cell-Idiotype-Keyhole Limpet Hemocyanin Vaccine,
VO_0007114,TriMixDC-MEL Vaccine,
VO_0002101,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.20),
VO_0004370,Herpes simplex virus DNA vaccine encoding gD and gB from HSV-2 strain Curtis,
VO_0003406,"tetanus toxoid vaccine, inactivated 8 UNT/ML",316782
VO_0003324,pneumococcal capsular polysaccharide type 19F vaccine 0.05 MG/ML,854949
VO_0004502,Influenza virus DNA vaccine pCAGGoptiHA,
VO_0003726,afluria 2016-2017 vaccine 0.5 ML Prefilled Syringe,1799403
VO_0007213,AFP Gene Hepatocellular Carcinoma Vaccine,
VO_0003869,HIBERIX vaccine 0.5 ML Injection,1300810
VO_0000063,Imovax Rabies (USA),1659730
VO_0000587,Bordetella vaccine,
VO_0001933,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Modified Live Virus Vaccine-Haemophilus somnus-Campylobacter Fetus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4489.30),
VO_0001877,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 45H5.20),
VO_0003974,Kinrix Injectable Product,1171400
VO_0003418,Mumps-Rubella Vaccine,
VO_0011412,M. tuberculosis Mtb72F protein subunit vaccine,
VO_0003273,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain,1292422
VO_0004359,Hepatitis B DNA vaccine pCEA/HBsAg encoding CEA and HBsAg,
VO_0000844,Art Vax,
VO_0001532,Pigeon Pox Live Virus Vaccine (USDA: 1881.12),
VO_0000758,Plasmodium vivax vaccine,
VO_0001613,"Bronchitis Ark Type, Live Virus Vaccine (USDA: 1231.21)",
VO_0002405,Canine Distemper-Adenovirus Type 2-Coronavirus-Parvovirus Vaccine-Leptospira Icterohaemorrhagiae Bacterial Extract,
VO_0003676,Fluvirin 2015-2016 Injectable Product,1657329
VO_0001795,Lawsonia Intracellularis Avirulent Live Culture Vaccine (USDA: 10L1.00),
VO_0001638,Bursal Disease Live Virus Vaccine (USDA: 1271.04),
VO_0000323,Brucella abortus conjugate vaccine using L7/L12,
VO_0004416,B. anthracis DNA vaccine pDNA encoding PA,
VO_0003752,Afluria Quadrivalent 2018-2019 Injectable Product,2050794
VO_0004709,rvOka-HN (mumps virus),
VO_0007601,DNP-modified autologous vaccine,
VO_0007119,vaccinia melanoma cell lysates (VMCL) vaccine,
VO_0002102,Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Modified Live Virus Vaccine (USDA: 13D1.21),
VO_0004411,Herpes simplex virus DNA vaccine pSIN-gB encoding gB,
VO_0003407,"tetanus toxoid vaccine, inactivated 4 UNT/ML",331444
VO_0003325,pneumococcal capsular polysaccharide type 2 vaccine 0.05 MG/ML,854951
VO_0004503,Influenza virus DNA vaccine pCAGGHA,
VO_0003732,Afluria 2017-2018 vaccine 0.5 ML Prefilled Syringe,1942132
VO_0007367,Cytokine-Induced Killer Cells Vaccine,
VO_0004996,AdCLD-CoV19,
VO_0002357,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine-Mannheimia Haemolytica Bacterin,
VO_0000765,Bordetella pertussis vaccine,
VO_0001878,Bovine Rhinotracheitis Killed Virus Vaccine-Haemophilus somnus-Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid (USDA: 45H5.21),
VO_0003975,"acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",830550
VO_0002488,Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3 Vaccine-Leptospira Pomona Bacterin,
VO_0003182,Mumps-Rubella Vaccine foreign to USA,
VO_0000449,Moraxella Bovis Bacterin Piliguard Pinkeye-1 Trivalent,
VO_0003277,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain Injectable Product,1292424
VO_0004360,Hepatitis B DNA vaccine pCMV-S2.S encoding the HBV(ayw Strain) envelope protein.,
VO_0003421,Hepatitis B Surface Antigen Vaccine Injection,1657681
VO_0001533,Pigeon Pox Live Virus Vaccine (USDA: 1881.14),
VO_0002825,Burkholderia pseudomallei aroC deletion mutant vaccine,
