ID,Label,RXN
VO_0003623,Fluzone Quadrivalent 2015-2016 vaccine Prefilled Syringe,1659736
VO_0003282,Varicella-Zoster Virus Vaccine Live (Oka-Merck) strain 29800 UNT/ML [Zostavax],1292433
VO_0003752,Afluria Quadrivalent 2018-2019 Injectable Product,2050794
VO_0003447,Typhoid Vaccine Live Ty21a Delayed Release Oral Capsule,762597
VO_0003687,Fluvirin 2017-2018,1928970
VO_0003615,Fluzone Quadrivalent 2014-2015 Formula 0.1 ML Prefilled Syringe,1598361
VO_0003631,Fluzone Quadrivalent 2016-2017 Formula Injection,1801188
VO_0003753,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Afluria Quadrivalent 2018-2019],2050792
VO_0003445,Typhoid Vaccine Live Ty21a 2000000000 UNT Delayed Release Oral Capsule,762598
VO_0003950,"Japanese encephalitis virus vaccine Nakayama-NIH strain, inactivated 0.012 MG/ML",1300780
VO_0003415,Hepatitis B Surface Antigen Vaccine Injectable Product,1160330
VO_0003965,Heplisav-B Injectable Product,2050058
VO_0003633,Fluzone Quadrivalent 2016-2017 Injectable Suspension,1801193
VO_0003785,Flucelvax Quadrivalent 2016-2017 Injectable Product,1801610
VO_0003584,Fluzone 2016-2017,1801179
VO_0003373,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 2000 UNT/ML Injection",1876705
VO_0003423,Hepatitis B Surface Antigen Vaccine 0.01 MG/ML,798438
VO_0003634,Fluzone Quadrivalent 2016-2017 vaccine Prefilled Syringe,1801073
VO_0003786,influenza A virus A/Brisbane/10/2010 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Hong Kong/259/2010 antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax Quadrivalent 2016-2017],1801608
VO_0015080,Fluzone 2015-2016,1658702
VO_0003380,"0.5 ML Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injection",1658239
VO_0003642,Fluzone Quadrivalent 2017-2018 vaccine Injection,1928315
VO_0003792,Flucelvax Quadrivalent 2017-2018 Injectable Product,1928536
VO_0003221,pneumococcal capsular polysaccharide type 17F vaccine,854942
VO_0003589,Fluzone 2017-2018,1928340
VO_0003382,"Yellow-Fever Virus Vaccine, 17D-204 strain 4000 UNT/ML Injectable Suspension",1292826
VO_0003082,Vaxchora,1812946
VO_0003644,Fluzone Quadrivalent 2017-2018 vaccine Injectable Suspension,1928356
VO_0003793,influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Singapore/GP2050/2015 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Hong Kong/259/2010 antigen 0.03 MG/ML / influenza B virus B/Utah/9/2014 antigen 0.03 MG/ML [Flucelvax Quadrivalent 2017-2018],1928534
VO_0003594,Fluzone 2018-2019,2050419
VO_0003515,"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-179A (H1N1) strain 0.03 MG/ML",1005930
VO_0003645,Fluzone Quadrivalent 2017-2018 vaccine Prefilled Syringe,1928331
VO_0003376,Stamaril Injectable Product,1876709
VO_0003758,Flulaval Quadrivalent 2016-2017 Injectable Product,1799105
VO_0003932,Gardasil Injectable Product,1176026
VO_0003516,"Influenza Virus Vaccine, Inactivated A-California-07-2009 X-179A (H1N1) strain 0.09 MG/ML",1111367
VO_0003652,Fluzone Quadrivalent 2018-2019 vaccine Injection,2050781
VO_0003377,"Yellow-Fever Virus Vaccine, 17D-204 strain Injection [Stamaril]",1876708
VO_0003759,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [Flulaval Quadrivalent 2016-2017],1799103
VO_0003933,"L1 protein, Human papillomavirus type 11 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 16 Vaccine 0.08 MG/ML / L1 protein, Human papillomavirus type 18 Vaccine 0.04 MG/ML / L1 protein, Human papillomavirus type 6 Vaccine 0.04 MG/ML [Gardasil]",798272
VO_0003511,"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.03 MG/ML",1303851
VO_0004820,Human-Bovine Reassortant Rotavirus Strain G4 Vaccine,798292
VO_0003654,Fluzone Quadrivalent 2018-2019 vaccine Injectable Suspension,2050787
VO_0004833,Quadracel Injectable Product,1607807
VO_0003764,FluLaval Quadrivalent 2015-2016 Injectable Product,1657338
VO_0003826,Havrix Injectable Product,1166526
VO_0003512,"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.12 MG/ML",1304299
VO_0004822,Human-Bovine Reassortant Rotavirus Strain P1A[8] Vaccine,798294
VO_0003655,Fluzone Quadrivalent 2018-2019 Vaccine Prefilled Syringe,2050775
VO_0004834,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.04 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.04 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Quadracel]",1988804
VO_0003765,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML [FluLaval Quadrivalent 2015-2016],1657336
VO_0003226,pneumococcal capsular polysaccharide type 20 vaccine,854952
VO_0003846,Ipol Injectable Product,1176753
VO_0003513,"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus 0.09 MG/ML",1304308
VO_0004823,Human-Bovine Reassortant Rotavirus Strain G2 Vaccine,798288
VO_0003609,Fluzone Quadrivalent 2013-2014 Formula Influenza Virus Vaccine Prefilled Syringe,1427038
VO_0004817,"Rotavirus Vaccine, Live Attenuated, G1P[8] Human 89-12 strain 1000000 UNT/ML [Rotarix]",805577
VO_0003815,influenza A virus A/New Caledonia/71/2014 (H3N2) antigen 158000000 UNT/ML / influenza A virus A/Slovenia/2903/2015 (H1N1) antigen 158000000 UNT/ML / influenza B virus B/Brisbane/60/2008 antigen 158000000 UNT/ML / influenza B virus B/Phuket/3073/2013 antigen 158000000 UNT/ML [Flumist Quadrivalent 2017-2018],1946985
VO_0003227,pneumococcal capsular polysaccharide type 22F vaccine,854954
VO_0003847,"poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML [Ipol]",763104
VO_0003503,"Influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus 0.03 MG/ML",1541618
VO_0003614,Fluzone Quadrivalent 2014-2015 Formula Prefilled Syringe,1537559
VO_0003371,"Yellow-Fever Virus Vaccine, 17D-204 strain",804187
VO_0003232,pneumococcal capsular polysaccharide type 4 vaccine,854962
VO_0003816,"FluMist Quadrivalent, 2017-2018 Formula Nasal Spray",1946986
VO_0003859,Imovax Injectable Product,1659733
VO_0004824,Human-Bovine Reassortant Rotavirus Strain G3 Vaccine,798290
VO_0003508,"Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.12 MG/ML",1304300
VO_0003231,0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Heplisav-B],1994352
VO_0003823,influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen 158000000 UNT/ML / influenza A virus A/Slovenia/2903/2015 (H1N1) antigen 158000000 UNT/ML / influenza B virus B/Colorado/06/2017 antigen 158000000 UNT/ML / influenza B virus B/Phuket/3073/2013 antigen 158000000 UNT/ML [Flumist Quadrivalent 2018-2019],2054273
VO_0003246,pneumococcal capsular polysaccharide type 8 vaccine,854970
VO_0003860,"rabies virus vaccine wistar strain PM-1503-3M (Human), Inactivated 2.5 UNT/ML [Imovax]",1659731
VO_0004825,Human-Bovine Reassortant Rotavirus Strain G1 Vaccine,798286
VO_0003509,"Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.09 MG/ML",1304309
VO_0003967,HEPLISAV-B 20 MCG per 0.5 ML Prefilled Syringe,2050059
VO_0003962,Vaxchora Oral Suspension,1812948
VO_0003248,pneumococcal capsular polysaccharide type 3 vaccine,854958
VO_0000064,Infanrix,224903
VO_0003510,"Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus 0.03 MG/ML",1304123
VO_0003254,pneumococcal capsular polysaccharide type 9N vaccine,854972
VO_0003458,"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]",1658102
VO_0004873,Adenovirus Type 4 Vaccine Live Pill,1153475
VO_0003249,pneumococcal capsular polysaccharide type 33F vaccine,854960
VO_0003505,"Influenza Virus Vaccine, Inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.03 MG/ML",1005932
VO_0003461,"0.5 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]",1658106
